,Chapter,Content Type,Illustration Title,Count,Source
0,Chapter 1,Text,"The fundamental point about radical uncertainty is that if we don’t know what the future might hold, we don’t know, and there is no point pretending otherwise.",27,"http://dln.jaipuria.ac.in:8080/jspui/bitstream/123456789/8690/1/Radical%20Uncertainty%20Decision-making%20for%20an%20Unknowable%20Future%20by%20Mervyn%20King%20John%20Kay.pdf
https://www.amazon.com/Radical-Uncertainty-Decision-Making-Beyond-Numbers/dp/1324004770"
1,Chapter 1,Text,"induces changes in the underlying processes ... which modify the effective forcing, which, in turn, modifies ∆T.",17,"https://www.nap.edu/read/5128/chapter/3
https://www.researchgate.net/publication/324850641_Successful_Organizational_Change_Integrating_the_Management_Practice_and_Scholarly_Literatures"
2,Chapter 1,Text,"Well, this is nice. But exactly how large is the value of climate insurance? To what extent does it push us towards early action, and by how much more should we reduce CO2 emissions if we want to properly account for the insurance value?",44,"https://hbr.org/2007/10/climate-business-_-business-climate
https://www.epa.gov/environmental-economics/economics-climate-change"
3,Chapter 1,Text,"By 2050 the temperature will rise by X◦C, sea levels will rise by Y meters, and as a result GDP will fall by Z percent,",25,"https://www.ipcc.ch/sr15/chapter/chapter-3/
https://www.ipcc.ch/site/assets/uploads/2018/02/WG1AR5_Chapter13_FINAL.pdf"
4,Chapter 1,Text,there is a 10-percent chance that temperature will rise by X◦C.,11,"https://www.ipcc.ch/sr15/chapter/chapter-3/
https://climate.nasa.gov/news/2865/a-degree-of-concern-why-global-temperatures-matter/"
5,Chapter 1,Text,Accounting for Changing Temperature Patterns Increases Historical Estimates of Climate Sensitivity.,11,"https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2018GL078887
https://www.researchgate.net/publication/326708725_Accounting_for_Changing_Temperature_Patterns_Increases_Historical_Estimates_of_Climate_Sensitivity"
6,Chapter 1,Text,Using Weather Data and Climate Model Output in Economic Analyses of Climate Change.,13,"https://www.nber.org/papers/w19087
https://academic.oup.com/reep/article/7/2/181/1522753"
7,Chapter 1,Text,The Use of Panel Models in Assessments of Climate Impacts on Agriculture.,12,"https://academic.oup.com/reep/article/11/2/258/4056609
https://academic.oup.com/reep/article/11/2/258/4056609#95195018"
8,Chapter 1,Text,Emergent Con- straint on Equilibrium Climate Sensitivity from Global Temperature Variability.,11,"https://www.nature.com/articles/nature25450
https://www.researchgate.net/publication/322552793_Emergent_constraint_on_equilibrium_climate_sensitivity_from_global_temperature_variability"
9,Chapter 1,Text,Temperature Shocks and Economic Growth: Evidence from the Last Half Century.,11,"https://scholar.harvard.edu/files/dell/files/aej_temperature.pdf
https://www.aeaweb.org/articles?id=10.1257/mac.4.3.66"
10,Chapter 1,Text,What Do We Learn from the Weather? The New Climate-Economy Literature.,11,"https://economics.mit.edu/files/9138
https://www.jstor.org/stable/24434109"
11,Chapter 1,Text,Developing a Social Cost of Carbon for Use in U.S. Regulatory Analysis: A Methodology and Interpre- tation.,17,"https://academic.oup.com/reep/article/7/1/23/1577964
https://academic.oup.com/reep/article/7/1/23/1577964#23009453"
12,Chapter 1,Text,Technical Support Document: Technical Update of the Social Cost of Carbon for Regulatory Impact Analy- sis.,16,"https://www.epa.gov/sites/production/files/2016-12/documents/sc_co2_tsd_august_2016.pdf
https://obamawhitehouse.archives.gov/sites/default/files/omb/assets/inforeg/technical-update-social-cost-of-carbon-for-regulator-impact-analysis.pdf"
13,Chapter 1,Text,Constraining Climate Sen- sitivity and Continental versus Seafloor Weathering Using an Inverse Geological Carbon Cycle Model.,16,"https://www.nature.com/articles/ncomms15423
https://pubmed.ncbi.nlm.nih.gov/28530231/"
14,Chapter 1,Text,The Impact of Recent Forcing and Ocean Heat Uptake Data on Estimates of Climate Sensitivity.,15,"https://journals.ametsoc.org/jcli/article/31/15/6051/92230/The-Impact-of-Recent-Forcing-and-Ocean-Heat-Uptake
https://journals.ametsoc.org/jcli/article/31/15/6051/92230/The-Impact-of-Recent-Forcing-and-Ocean-Heat-Uptake#12005824"
15,Chapter 1,Text,The Importance of Mixed-Phase and Ice Clouds for Climate Sensitivity in the Global Aerosol-Climate Model ECHAM6-HAM2.,16,"https://acp.copernicus.org/articles/18/8807/2018/
https://www.researchgate.net/publication/325932563_The_importance_of_mixed-phase_and_ice_clouds_for_climate_sensitivity_in_the_global_aerosol-climate_model_ECHAM6-HAM2"
16,Chapter 1,Text,Estimates of the Social Cost of Carbon: Concepts and Results from the DICE-2013R Model and Alternative Approaches.,17,"https://www.jstor.org/stable/pdf/10.1086/676035.pdf
http://doi.org/10.1086/676035"
17,Chapter 1,Text,Climate Sensitivity Estimates — Sensitivity to Ra- diative Forcing Time Series and Observational Data.,14,"https://esd.copernicus.org/articles/9/879/2018/
https://esd.copernicus.org/articles/9/879/2018/esd-9-879-2018.pdf"
